text,label,rate
hẹn là có trước thứ 6 tuần trước vì mình dặn là mình cần gấp đến tận bây giờ mới giao,NEG,1
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt sẽ tiếp tục mua hàng của shop,POS,5
sản phẩm tốt sẽ tiếp tục ủng hộ shop,POS,4
đóng gói sản phẩm kĩ,POS,4
màu không được đậm như trong hình,NEG,2
hàng ưng ý chất lượng sản phẩm tuyệt vời,POS,5
hàng ko chuẩn size chút nao thất vong qua lay size m bé quá ko vua cho đua cháu luờn quay lai lay them cai size l van the qua thâ t vong luôn,NEG,1
nhưng cu ng mâ t công đơ i ha ng vâ y la cu ng đươ c rô i,POS,4
rất đáng tiền thời gian giao hàng rất nhanh shop phục vụ rất tốt chất lượng sản phẩm tuyệt vời áo đẹp lắmm,POS,5
size m nhưng hơi rộng mình 57 kg,NEG,2
màu sắc rất đẹp sắc sảo,POS,5
đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền chủ shop rất dễ thương nhiệt tình,POS,5
vẫn biết là tiền nào của nấy nhưng k nghĩ chất xấu như vậy,NEG,1
sẽ ủng hộ shop dài dài,POS,4
vải thô ơi là thô,NEG,1
giao hàng k có tâm đồ đạc méo hết giao hàng bị trễ,NEG,1
màu xanh bên ngoài ko tươi như hình,NEG,2
áo màu không giống hình bất lực vs shop,NEG,1
mk dat mau hong ma shop thui mau vag cug tam vay,NEG,2
áo rộng so với mình giá rẻ nên vậy là ok,POS,4
chất lượng sản phẩm tuyệt vời lại đc tặng thêm quà nhỏ xinh nữa tks shop nhé,POS,5
nhưng mỗi tội shop ship hàng lâu quá,NEG,2
sản phẩm bằng nhựa ko phải inox không lắp vào vòi được,NEG,1
thời gian giao hàng nhanh shop tư vấn dễ thương,POS,5
thời gian giao hàng rất nhanh,POS,4
đặt trắng tay đỏ nhg shop giao đỏ tay trắng,NEG,1
chất vải mát dáng áo như hình nói chung vượt mong đợi,POS,5
sản phẩm co giãn ok lắm chất vải mặt nữa,POS,4
mình rất thích những chiếc quần đc bọc riêng từng túi theo kiểu nhật như thế,POS,4
vải đẹp form đẹp,POS,4
áo giống hình,POS,4
sp tạm đuoc,POS,4
vải mỏng dính,NEG,2
shop phục vụ rất tốt,POS,5
sản phẩm gần giống với hình ảnh đóng gói sản phẩm tạm được,NEU,3
mong muốn đổi lại cũng không cho,NEG,1
đợi lâu nhưng shop rất nhiệt tình,POS,4
đẹp lém shop,POS,4
đẹp,POS,4
dù sao cũng cảm ơn shop,POS,4
shop phục vụ rất tốt vải đc tại mình lười ủi nên vải giặt bị nhân mình k thich thời gian giao hàng nhanh đóng gói sản phẩm chắc chắn chất lượng sản phẩm tốt,POS,4
chất đẹp mặc thoải mái,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền,POS,5
đặt hôm qua,NEU,3
son ma u đe p k bi bô t,POS,4
nhưng ko thấm như quảng cáo kiểu tấm tranh hơn là thảm,NEG,2
hàng chuẩn hình mặt nạ ôm sát khá dày dặn nhiều dưỡng chất nhưng mình không thấy rõ mùi trà xanh lắm,POS,4
vải ok nhưng in xấu,NEG,2
hàng đẹp chất liệu rất đẹp,POS,4
chất lượng sp so với giá ổn nha shop,POS,5
lon mau mua mau trang ma shop goi mau den,NEG,2
hàng tạm được chỉ có mỗi cái nhãn phía trước k có gì chứng minh hàng chính hãng,POS,4
đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh giày bị bẩn một chút,POS,4
bjo dem ik sua cug tien k ak mua 6 7 sp ma co ao fin la ug y thôi re ma vai mat min còn tac ca diu tệ wa that te lam nha 42 ki dua do cơ 52 ki vua,NEG,1
ưng ý,NEU,3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn mặc rất đẹp,POS,5
in dễ bong tróc,NEG,2
áo rộng phần nách nên hơi bị nhăn màu đỏ hồng chứ ko phải đỏ tươi,NEG,2
đặt mua 2 bộ shop chọn khéo quá cả 2 bộ 2 cái quần đều rách túi ạ,NEG,1
cho shop 10 sao chúc shop đắt hàng nha đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền,POS,5
shop rất nhiệt tình,POS,4
ok lắm luôn nhe đúng màu mình chọn luôn,POS,5
k đáng tiền,NEG,1
show có tâm,POS,5
chưa sd nên chưa biết kq,NEU,3
shop phục vụ tốt nhiệt tình phản hồi nhanh,POS,4
chất lượng tốt,POS,4
hàng y hình,POS,4
áo hơi ngắn và nhỏ ko đc như hình,NEG,2
phom xuôn rộng,POS,4
nhìn hình mình cứ tưởng tay lỡ,NEG,2
mua 5 áo nhưng 1 áo bị lỗi mà giá rẻ nên cx đc em cho 4 sao nhé,POS,4
cũng được,NEU,3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời,POS,5
giày xinhh hộp đẹp chất okk chủ shop rep nhanhh sẽ ủng hộ lần <num>,POS,5
có đường may rất lộ gửi hoàn hàng thì mấy ngày mới thấy rep,NEG,2
quần quá đẹp luôn ạ,POS,5
kể từ đây bắt đầu la liếm shop 33,POS,4
giá tốt mình mua khi có deal nên chỉ 64 k chai date rất mới sx tháng 6 <num> hài lòng,POS,4
không phải hàng chính hãng dgw nhé nhưng đì cũng tạm được,POS,4
đường may xấu,NEG,2
chủ shop dễ thương nhiệt tình,POS,5
vì chật,NEG,2
cảm ơn shop,NEU,3
ưng dể sợ à,POS,4
duog may sau nhieu loi nhu hang cho,NEG,1
giá cả hợp lý chất lượng sản phẩm ok,POS,4
giá cả chấp nhận được,POS,4
chất lượng sản phẩm tuyệt vời đẹp và giá thành qá rẻ tôi rất thích rất đáng tiền đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt thời gian giao hàng rất nhanh yêu shop,POS,4
lun lun tin tưởng,POS,5
chất lượng sản phẩm tuyệt vời áo rộng đẹp phù hợp cho cả người béo và gầy,POS,4
áo đẹp vừa tiền nhưng size m thì nhìn tương đương với size s,POS,4
áo đẹp vải voan mặc mát,POS,5
áo trắng mỏng,NEG,2
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chủ shop nhiệt tình giày rất ưng,POS,5
sẽ ủng hộ shop ở những sp tiếp theo,POS,5
giá tốt,POS,4
nhưng may là mẫu shop giao cũng đẹp nên vẫn cho 5,POS,4
chất lượng sản phẩm tuyệt vời,POS,5
áo vải đẹp nhg mình mặc thấy hơi béo,POS,4
nhỏ quá,NEG,2
bọn lừa đảo tao mua quần tặng vợ mà lai gửi cho tao cái quần rách đã thế còn không cho xem sản phẩm trước mất tiền mà vẫn bị vợ mắng cho làm ăn thất đức quá,NEG,1
chất lượng tốt,POS,5
váy rẻ mà xinh quá luôn vải đẹp nữa,POS,4
mình tính cho 3 sao nhưng vì áo đẹp nên cho4 sao,NEU,3
sản phẩm khi mặc hơi rộng và quá dài đối với tôi,NEG,1
vỏ hộp hơi cũ rách túi bên trong cũng cũ,NEG,2
lỗi may nhìu chỉ thừa nhăn nhíu lại,NEG,2
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng phù hợp giá tiền,POS,5
màu tối hơn trong hình chất đẹp rất đáng tiền,POS,5
mềm và êm tay lắm,POS,4
4 con mà có 1 con nhỏ hơn gói kĩ cẩn thận nhân viên giao hàng nhiệt tình,POS,4
đóng gói sản phẩm chắc chắn shop phục vụ rất tốt,POS,5
thời gian giao hàng rất nhanh sản phẩm oke bạn nhé,POS,5
chủ shop rất nhiệt tình,POS,4
áo đỏ may hơi lỗi,NEU,3
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền,POS,4
vải pha nilon nhiều,NEG,1
chất lượng sản phẩm tuyệt vời rất đáng tiền,POS,5
vai ao giong 100 k 3 cai cho troi hay ban vai giong lau lon qua di mau ko giong ngat luong do that duc dam gat ca ba ngoai ha con,NEG,1
sp bị bẩn không đáng tiền,NEG,2
túi đẹp ngoài sức tưởng tượng,POS,4
quần jean đẹp mà size nhỏ quá,NEG,2
nhận sai hang xin trả hàng và thanh toán tiền lại chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
chất lượng sản phẩm tuyệt vời qua ngon nhưng hơi méo,POS,4
áo giống hình vải đẹp,POS,4
vải rất đẹp sẽ còn ủng hộ shop dài dài,POS,5
các mẹ mà có con nhỏ da nhạy cảm thì nên cân nhắc mua bỉm này nhé,NEG,1
la i thêm tiê p tu c u ng hô chi nư a,POS,5
đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
sản phẩm giống hình,POS,4
tien nào của nấy,NEU,3
sẽ tiếp tục ủng hộ shop,POS,5
vải ko như mong muốn,NEG,2
quần đẹp,POS,4
giầy có form,NEU,3
rất ưng ý,POS,5
lần thứ 2 mua hàng của shop và rất ưng ý rao hàng cũg rất nhanh nữa,POS,5
ship hàng đã cũ,NEG,1
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn vải đẹp váy như hình cô chủ shop nhiệt tình dễ thương,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh rất đáng tiền nhưng mà sao shop lại giao sai màu áo,POS,4
chất lượng sản phẩm tuyệt vời,POS,4
hàng giao chậm ko có đóng gói mà quấn băng keo bên ngoài nên hàng bị dơ tai thỏ,NEG,1
dùng tốt đợi thêm thời gian nữa xem có hiệu quả không,NEU,3
đồ xinh nhưng dịch vụ chăm sóc kha ch hàng hơi kém,NEG,2
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh rất đáng tiền,POS,5
quan khong co tui truoc,NEG,2
ok với giá thành,POS,4
chất lượng sản phẩm tuyệt vời chun hơi rộng 1 chút,POS,4
nói chung được hài lòng,NEU,3
màu đậm hơn so với ảnh,NEG,2
chất lượng sản phẩm tuyệt vời hơi bị bẩn ở cô áo chắc do tay sờ nhiều shop uy tín,NEU,3
chất k phải lụa cũng m phải phi lụa,NEG,1
sản phẩm cực đẹp luôn,POS,5
hàng đẹp dày và giao màu rất đúng với yêu cầu sẽ ủng hộ shop tiếp,POS,5
chất vải mình ko ưng lắm nhưng shop phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn,NEU,3
sản phẩm tốt thời gian giao hàng rất nhanh shop đóng gói kĩ lưỡng,POS,5
áo đúng hình mặc lên rất sang và mát,POS,5
lần nào cũng vậy,NEU,3
rất rất rất là hài lòng lần đầu tiên có shop làm mình hài lòng đến vậy sản phẩm rất chi là ok,POS,5
quần mềm và mỏng mát,POS,4
chất lượng sản phẩm tuyệt vời hang rat dep de thuong lam rất đáng tiền shop phục vụ rất tốt tu van nhiet tinh de thuong noi chung la,POS,5
áo nhỏ,NEG,2
gấu mềm mịn đẹp nhẹ like,POS,5
nhưng giao hàng không đúng ngày gây khó khăn trong việc nhận hàng,NEU,3
chất lượng sản phẩm tuyệt vời,POS,5
giao hàng nhanh không thể ngờ,POS,4
replica,POS,4
áo đẹp không thể tả,POS,5
em sẽ ủng hộ shop nữa ạ,POS,5
có ng giới thiệu shop mua,NEU,3
vỏ to nhưng kẹo ít,NEG,2
cũng tạm được,NEU,3
chất được đường may hơi lỗi xíu phù hợp giá thành,POS,4
hàng ok nhé shop,POS,4
chất lượng sản phẩm tạm được chất lượng sản phẩm tuyệt vời,POS,4
lầm t2 mua của shop,POS,4
rẻ mà k ưng ý k sử dụng đc thì cũng như k,NEG,2
đặc biệt đồ mình nhận rất hài lòng nhé ạ,POS,5
áo này ko thể thiếu mix với ti tỉ thứ nhé len mềm mướt tay nhé,POS,5
ống tay không rộng như hình đóng gói sản phẩm rất đẹp và chắc chắn,POS,4
nhất định sẽ còn mua ở shop dài dài,POS,5
vãi xấu,NEG,1
giao hàng nhanh,POS,4
sơmi may dày dặn đẹp nè,POS,5
chất lượng sản phẩm tuyệt vời rất đáng tiền,POS,5
shop giao hàng nhanh đúng size đúng màu,POS,5
mình ủi số nhẹ nhất nhưng vừa đặt lên đã bị cháy,NEG,2
thời gian giao hàng rất nhanh,POS,4
sạc không dây lúc nhận lúc không để đt 1 chỗ cứ báo kết nối rồi mất kết nối liên tục pin xạc 8 tiếng mới đầy xạc ngược lại cho điện thoại được đúng 2 lần hết pin chất lượng sản phẩm rất kém,NEG,1
quá quá mỏng tiền nào của náy,NEU,3
shop phục vụ rất tốt,POS,5
áo mặc dễ chịu nhưng giặt bị đổ màu và vải khó thấm mồ hôi nước mắt kiểu áo đẹp thích nhất là tay áo em mua 3 sp và rất ưng i lần sau sẽ tiếp tục ủng hộ shop,POS,4
áo bị bẩn như kiểu dính mực ở 1 bên ống tay,NEG,1
không nói rõ sản phẩm chương trình làm khách nhầm tưởng là chỉ có <num> k được dùng cả năm chứ ko phải đăng ký mỗi tháng mất 90 k,NEG,1
chủ shop nhiệt tình phục vụ chu đáo gói hàng cẩn thận,POS,5
tuyệt vời,POS,5
chị chủ shop nhiệt tình và dễ thương quá chừng,POS,5
shop giao nhầm màu cho e r e đặt màu trắng mà lại giao màu đen,NEG,2
rất đáng tiền,POS,5
thời gian giao hàng rất nhanh,POS,5
chất ổn shop phục vụ rất tốt,POS,5
tạm ok,NEU,3
áo chất nilon mỏng và ráp da,NEG,2
nói chung là thích hơn sp mình đã mua chỗ khác k có họa tiết,NEG,2
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền giao hàng siêu nhanh ạ,POS,5
nhắn tin ko rep mất mệ cái áo 80 k làm ăn như thế hả gói hàng như cúng cô hồn,NEG,1
quần lem màu áo bị lỗi,NEG,2
chất lượng sản phẩm rất tuyệt vời hơi rộng so với người của em thôi ạ,NEU,3
sẽ comeback khi ví hết cháy,POS,5
áo thì vải tạm chấp nhận được tay hơi dài,POS,4
hài lòng lắm,POS,4
chất vải dày dặn giao hàng nhanh,POS,4
ý hình,POS,4
shop tư vấn tốt,POS,4
chủ shop nhiệt tình,POS,5
áo ra màu sản phẩm tạm được,NEG,2
đẹp lắm shop ạ,POS,4
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh mềm mại mua của shop này đi mọi người ko thất vọng đâu <num>,POS,5
áo đẹp hơi mỏng xíu và dáng hơi croptop,POS,4
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền thời gian giao hàng rất nhanh,POS,5
áo và váy đều mua ở shop,POS,5
áo đẹp lắm ạ,POS,5
đe p rẻ phù hợp mùa đông cho các bé,POS,4
perfect,POS,5
hóa ra là dài tay,NEG,2
đáng tiền nhé,POS,4
hàng nguyên seal tai nghe tặng kèm lởm đặt màu đỏ giao màu đen,NEG,1
tôi thấy trên mặt dây đồng hồ có nhiều vết sước nhỏ,NEG,1
đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt thời gian giao hàng rất nhanh,POS,5
giao hàng lâu,NEG,2
rất bố láo,NEG,1
chủ shop nhiệt tình dễ thương,POS,5
chất lượng sản phẩm phù hợp với giá tiền đóng gói sản phẩm rất chắc chắn thời gian giao hàng rất nhanh,POS,5
ủng hộ shop dài dài ak,POS,5
mua 7 cái đều ưng cả,POS,5
chất lượng sản phẩm tuyệt vời có điều mã gửi chậm quá hơn 12 tiếng mới có mã thẻ,NEU,3
thời gian giao hàng rất nhanh shop phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời rất đáng tiền,POS,5
chúc shop buôn may bán đắt,POS,5
giày đẹp quá ạ phù hợp với giá tiền cực kì,POS,4
rất cảm ơn b,NEU,3
chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh shop phục vụ rất tốt rất đáng tiền shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh,POS,5
sp chưa dc ưng cho lắm,NEG,2
nói túm lại mặc vào form đẹp lắm,POS,5
chất liệu rũ mềm,NEG,2
không giống mẫu cho lắm,NEG,2
chất lượng sản phẩm tuyệt vời,POS,4
yêuu,POS,5
shop giao hàng không đúng mẫu bạn đăng là dưới đế màu đỏ,NEU,3
rất hài lòng,POS,5
rất đáng tiền shop phục vụ rất tốt chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh,POS,4
chất lượng sản phẩm tuyệt vời,POS,5
chất đẹp hơn hình nhiều,POS,4
chuẩn,POS,4
có đủ bộ chén cho cả nhà ăn luôn rồi hehe,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền áo trắng hơi mỏng dơ xíu n khá ok thời gian giao hàng chậm,NEU,3
mình rất ưng ý vs sp,POS,5
chất lượng rất tốt thời gian giao hàng nhanh hơn mong đợi,POS,5
sp tạm đc đóng gói đơn giản,POS,4
rất đáng tiền đóng gói sản phẩm rất đẹp và chắc chắn nhưng không có hộp đựng,POS,4
giao hàng nhan,POS,4
san pham xau may bi loi ko mac dk,NEG,1
vậy mà k mặc dc luôn,NEG,2
khá là cute,POS,4
màu giống 90 so với ảnh,NEG,2
mình mua 2 lần rồi,POS,5
rất đáng tiền thời gian giao hàng rất nhanh áo chất dày dặn mà rẻ,POS,5
áo đẹp chất đẹp gói hàng đẹp dễ thương,POS,4
thời gian giao hàng rất nhanh,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền rất đáng tiền,POS,5
vải đẹp dáng đẹp y hình cảm ơn chị chủ shop,POS,4
quá rộng ko mặc đk,NEG,1
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền cho 5 sao,POS,5
chủ shop tư vấn nhiệt tình và thân thiện,POS,4
áo đẹp vải đẹp mềm mịn rất ưng ý,POS,4
ko dám mặc luon,NEG,1
cảm ơn shop,POS,4
shop phục vụ rất tốt,POS,4
đừng nên mua tại shop này,NEG,1
thời gian giao hàng nhanh,POS,5
còn chất lượng như nào phải dùng 1 thời gian mới biết được,NEU,3
chất lượng đẹp,POS,4
thời gian giao hàng hơi lâu,NEG,2
mũ rộng quá,NEG,2
bộ kate thì k ưng lắm vì lỗi đường may một chút nhưng giá rẻ nên chấp nhận đc,POS,4
đẹp rẻ,POS,5
chị chủ shop tư vấn nhiệt tình nói chuyện rất dễ thương,POS,4
giao hàng nhanh gói hàng đẹp,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh rất đáng tiền rất đáng tiền rất đáng tiền rất đáng tiền shop phục vụ rất tốt shop phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
hơi bị hài lòng sẽ ủng hộ shop dài dài,POS,5
áo ngắn,NEG,2
shop phục vụ rất tốt,POS,5
đóng gói sản phẩm kỹ càng,POS,5
ao xinh lai duoc tang them qua,POS,4
thời gian giao hàng rất nhanh,POS,5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn,POS,5
áo vải đẹp đáng tiền,POS,4
áo dễ thương màu chuẩn thun mỏng mát nhưng sẽ dễ đổ lông,NEG,2
sẽ ủng hộ dài bên shop,POS,5
quá tệ cho thái độ mua bán áo ngắn dành cho đối tượng dưới 1 m50 thoai,NEG,1
mọi người đừng ai mua của shop này kẻo bị mắc lừa như tôi,NEG,1
quần thô xấu,NEG,1
chất mát giá rẻ chuẩn màu chuẩn form,POS,5
sản phẩm đẹp y hình rất hài lòng,POS,5
mình nghỉ áo có hoa văn mặc ok nhất á còn áo gài trước mặc cứ tuột lên trên hoài kh cố định,POS,4
vải hơi cứng xíu tuy nhiên form áo màu sắc rất đẹp,POS,4
rất đẹp,POS,5
6 sao tang shop,POS,4
thất vọng,NEG,1
chất vải mỏng k ưng lắm nhưng phù hơp với giá tiền tiền nào vải nấy là thật,NEG,2
nên khỏi suy nghi phân vân khi chọn sản phảm nha,NEU,3
oke,POS,4
vải không được dày dặn cho lắm,POS,4
chất liệu sản phẩm tuyệt vời,POS,5
chất lượng sản phẩm tuyệt vời,POS,5
áo quần rộng rãi thoải mái hơn mong đợi,POS,4
mang bị hở gót đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền thời gian giao hàng rất nhanh,POS,4
dep hon tuong tuong san pham chat luong hon so voi gia tien,POS,5
shop uy tín sẽ tiếp tục ủng hộ 5,POS,5
bao gói rất kín,POS,4
rate 2 sao vì shop k rep inbox hủy hàng cũng may là áo cũng đc mình share bớt cho bạn mình 1 cái,NEU,3
giống hình,POS,4
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh,POS,5
cung ok,POS,4
ko được nhiều kim tuyến như m nghĩ,NEG,2
chất lượng sản phẩm tạm được,NEU,3
giày đẹp và chắc chắn,POS,4
đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt dễ tính rất đáng tiền,POS,5
màu ko đc giống ảnh,NEG,2
giá này cũng ko rẻ trên shopee nhưng mua ko uổng chút nào,NEU,3
lấy 10 chiếc mà 3 cái k phải len tăm,NEU,3
áo như ảnh mỗi áo được đựng trong túi zip gói đẹp và cẩn thận,POS,4
shop gói hàng rất cẩn thận và chu đáo,POS,5
đường may ẩu,NEG,1
chất lượng sản phẩm tuyệt vời chất vải đẹp đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất nhiệt tình,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh vải đẹp mặc thoáng giống ik như hình ko quá mõng,POS,5
bóc ra xong mới xem lại made in china,NEG,1
mang êm from đẹp,POS,4
giống hình form áo rộng chất mỏng hơn mình nghĩ áo mùi hắc khó chịu,NEG,1
không đúng chất lượng với giá <num> k nó chỉ đáng <num> k,NEG,1
chất liệu vải quá xấu,NEG,2
áo đẹp như hình,POS,4
dạ mềm mịn,POS,4
rẻ lại đẹp nhìn rất thích luôn,POS,5
chất rất ok,POS,5
mặc trời thu bên trong áo phông trắng rất hợp,POS,5
vải cũng được nhưng không đúng sai mặc không vừa,NEG,2
thời gian giao hàng nhanh,POS,4
áo chất ok nhưg để lại tin nhắn là 3 màu mà shop gửi nhầm toàn màu trắng đóng gói sản phẩm rất đẹp và chắc chắn,POS,4
thời gian giao hàng rất nhanh shop phục vụ rất tốt,POS,5
bên mình bán không kèm pin sao,NEU,3
áo thì đẹp nhưng mặc lên nhìn như khoác cái giẻ lau vì đặt size s mà shop bán cho size m,NEG,1
chất lượng sản phẩm tuyệt vời,POS,5
giống hình thật phía sau,POS,4
giá cả chấp nhận được,NEU,3
hộp đồng hồ mốp méo tùm lum,NEG,1
quá đẹp chất lượng sản phẩm tuyệt vời,POS,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chị chủ shop nhiệt tình,POS,4
hàng date mới t9 <num> quà tặng băng đô rất xinh ạ,POS,4
len giày quá mặc thấy rặm k thoải mái,NEG,2
áo đẹp nhưng tay áo bị lỗi,NEG,2
sản phẩm đẹp balô chất liệu bao đep luôn nha đây là góp ý riêng của mk dành cho shop mong moi nguoi có dịp ủng hộ shop nha,POS,4
chất lượng sản phẩm kém,NEG,1
quần xinh vải hơi mỏng xíu lên dáng xinh,POS,5
chất lượng vải áo đẹp đóng gói sản phẩm chắc chắn,POS,4
chất vải bt nhưng măc lên dễ chịu,NEU,3
đầm đẹp lắm,POS,5
rất có thiện cảm với shop,POS,4
mùi hơi hôi khi ăn không như các yến mạch khác,NEG,1
được shop an,POS,5
vote 5 sao,POS,5
phục vụ nhiệt tình,POS,5
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời vải đẹp với giá như vậy là quá tốt,POS,5
thoải mái,POS,4
phải thêm 1 miếng nới áo mới vừa,NEG,2
chất lượng vải kém,NEG,2
áo dày dặn với xinh lắm ạ 3 chủ shop nhiệt tình,POS,5
tư vấn nhiệt tình,POS,5
vải áo dày hợp mặc đông,POS,5
chất vải đẹp mát,POS,4
a o mo ng hơn mi nh tươ ng form không đe p lă m,NEG,2
lừa đảo,NEG,1
chất vải mát dáng ổn nhưng chỉ thừa nhiều quá,POS,4
rất ưng,POS,5
hàng ổn vs giá chân mình hay đi 37 cảm giác đi giày này hơi khít chân nên chọn size to hơn đi tất cho thoải mái,POS,4
áo rộng chất vải k đc đẹp lắm,NEG,2
nên mua dây 2 mm,NEU,3
thời gian giao hàng rất nhanh,POS,4
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt,POS,5
mă c ma vâ n đô ng gio n vo tha nh cu c,NEG,2
chất lượng sản phẩm tuyệt vời rất đáng tiền thời gian giao hàng rất nhanh,POS,5
đóng gói sản phẩm quá xấu hộp móp tùm lum,NEG,1
sản phẩm không như mong đợi,NEG,2
vải dày tốt màu y như hình,POS,5
ko ưng ý lắm cách phục vụ đã chọn lấy quần đen vẫn xếp quần ghi cho khách,NEG,1
mặc dù áo còn bị lỗi nhưng vãi nó rất mịnh,POS,4
nhận hàng chỉ lo thiếu vì món nhỏ mà lắt nhắt ai ngờ k thiếu 1 món nào m đang xài mùi trầm thơm lắm ạ chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền,POS,5
đóng gói sản phẩm rất kém,NEG,2
áo dễ thương shop phục vụ rất tốt,POS,5
dáng áo to,NEG,2
thời gian giao hàng rất nhanh,POS,4
chất lượng sản phẩm ổn,POS,4
sản phẩm đẹp hơn cả mong đợi,POS,4
dây chéo ko bằng nhau,NEG,2
nói chung là cx được,POS,4
sạc đầy ko ngắt rất nóng,NEG,2
đồ ok lm tg giao hàng chậm,NEU,3
chất lượng sản phẩm tuyệt vời,POS,5
áo đẹp lắm tks shop,POS,5
thời gian giao hàng rất nhanh,POS,4
phục vụ chứ đáo nữa ak,POS,4
chất tạm được so với giá thì ok cổ hơi chão nên mặc k đc ôm cho lắm chắc tại m gầy giao hag nhah,POS,4
de thuong,POS,4
áo mặc đep ôm sát vừa vặn,POS,4
chất lượng sản phẩm tuyệt vời đường kim mũi chỉ sắc nét,POS,5
cũng tạm dc,NEU,3
mình bầu 6 tháng nặng 54 kg nhưng mặc xl vẫn kích ở vùng bụng,NEG,2
shop giao hàng cực nhanh lun nha,POS,5
shop giao hang qua cham,NEG,2
mua để mặc chứ ko phải để làm từ thiện,NEG,1
bộ nỉ chất đẹp,POS,5
